Model,Accuracy,Precision,Recall,F1-score
LSTM + SVM,0.9885625,0.9846492691717279,0.9556289674828345,0.9699220932908188
GRU + SVM,0.9884625,0.9846410684474124,0.9551107656432181,0.9696511360273568
