Model,Accuracy,Precision,Recall,F1-score
LSTM + SAE + SVM,0.98855,0.9847129506008011,0.9554994170229304,0.9698862515615754
GRU + SAE + SVM,0.988275,0.9844961240310077,0.9542686876538412,0.9691467666600881
