Model,Accuracy,Precision,Recall,F1-score
LSTM,0.9884,0.9839,0.9556,0.9696
GRU,0.9882,0.9842,0.9541,0.9689
LSTM + SVM,0.9885625,0.984649269171728,0.9556289674828344,0.9699220932908188
GRU + SVM,0.9884625,0.9846410684474124,0.955110765643218,0.9696511360273568
LSTM + SAE + SVM,0.98855,0.9847129506008012,0.9554994170229304,0.9698862515615754
GRU + SAE + SVM,0.988275,0.9844961240310076,0.9542686876538412,0.969146766660088
